Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin
0.001864127;2.408;21.100;82.196
0.0006213754;3.910;21.151;40.809
0.007870751;14.607;7.525;87.172
0.004142501;8.216;14.013;75.270
0.005074564;13.354;9.737;71.729
0.002381939;3.394;6.210;79.512
0.001864127;7.237;39.344;88.551
0.001553439;5.929;14.272;23.118
0.003624689;18.614;6.899;64.128
0.0008285006;3.394;6.210;73.966
0.0004142503;6.319;51.504;97.900
0.002278377;4.147;23.110;69.453
0.001035626;2.487;9.047;89.000
0.003624689;14.607;18.871;87.172
0.0003106877;6.319;51.504;97.900
0.002071252;14.607;29.146;87.172
0.003417564;2.408;3.203;82.196
0.005799501;11.549;5.485;70.904
0.001760564;3.910;21.151;99.640
0.002692627;3.291;16.632;58.460
0.002381939;22.555;39.761;76.629
0.01512016;85.362;29.146;87.172
0.001967689;12.631;11.331;68.493
0.0008285006;50.409;21.151;95.763
0.01097764;49.784;21.151;95.763
0.002071252;85.820;3.839;67.260
0.001657001;3.394;6.210;40.355
0.0008285006;3.834;29.146;87.172
0.001346314;14.607;29.146;87.172
0.01512016;14.607;29.146;87.172
0.007870751;5.383;5.347;97.866
0.002796189;5.383;5.347;30.031
0.009113504;14.607;29.146;90.025
0.003417564;51.630;25.328;65.510
0.005178126;4.147;16.653;69.453
0.003003314;38.253;1.602;79.914
0.002692627;14.505;14.272;86.958
0.01853773;10.225;31.467;42.259
0.0009320632;4.739;71.216;96.089
0.006420876;12.631;11.331;68.493
0.005074564;13.354;9.737;71.729
0.0004142503;51.630;25.328;65.510
0.001864127;71.049;12.421;71.303
0.004246064;16.630;8.011;89.363
0.0003106877;6.319;55.873;97.900
0.001139188;51.825;6.210;40.355
0.01512016;14.607;29.146;87.172
0.001657001;3.448;16.097;92.114
0.001657001;13.551;39.761;64.561
0.003210439;2.408;21.100;46.729
0.0006213754;3.394;20.311;40.355
0.003210439;8.216;14.013;75.270
0.001242751;19.304;1.163;85.242
0.001864127;11.844;64.579;80.225
0.004246064;71.049;12.421;71.303
0.003624689;18.614;6.899;64.128
0.004246064;12.631;11.331;68.493
0.002796189;5.929;14.272;86.958
0.002071252;85.820;3.839;67.260
0.005799501;11.549;5.485;97.962
0.001346314;4.008;5.011;38.738
0.0004142503;3.394;6.210;40.761
0.00932063;8.753;8.900;41.885
0.002381939;3.394;6.210;27.934
0.001035626;4.008;23.909;71.078
0.0009320632;12.631;11.331;51.451
0.008492126;16.630;8.011;89.363
0.002692627;64.857;8.744;33.138
0.003624689;2.332;10.909;64.235
0.002796189;6.319;7.286;97.900
