Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
4.800;64.431;4.725;98.049;0.015;0.015
3.800;21.030;3.601;29.210;0.012;0.026
14.400;73.747;14.266;99.429;0.044;0.070
103.200;3.125;25.765;45.998;0.315;0.386
17.200;54.962;26.450;88.252;0.053;0.438
7.600;30.132;7.466;89.789;0.023;0.461
143.999;4.107;17.828;92.837;0.440;0.902
21.000;4.324;4.003;55.206;0.064;0.966
11.200;48.880;35.677;67.692;0.034;1.000
Nilai fitness terbaik = 143.9989
Total fitness =  327.1985

