Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
15.000;20.824;14.960;33.156;0.134;0.134
15.000;59.784;45.848;89.605;0.134;0.269
52.800;3.729;4.330;86.097;0.473;0.742
10.400;88.381;10.241;49.214;0.093;0.835
13.800;81.969;13.646;91.787;0.124;0.959
4.600;12.469;4.436;65.055;0.041;1.000
Nilai fitness terbaik = 52.80013
Total fitness =  111.6001

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
4.400;12.469;4.330;89.605;0.011;0.011
36.800;3.729;4.436;74.187;0.090;0.100
8.800;59.784;10.241;49.214;0.021;0.122
13.800;20.824;13.646;65.055;0.034;0.155
23.000;3.729;4.436;91.787;0.056;0.211
27.600;3.729;4.436;91.787;0.067;0.278
27.600;3.729;4.436;91.787;0.067;0.346
32.200;3.729;4.436;91.787;0.078;0.424
32.200;3.729;4.436;91.787;0.078;0.502
27.600;3.729;4.436;91.787;0.067;0.570
4.600;9.393;4.436;91.787;0.011;0.581
41.400;3.729;4.436;91.787;0.101;0.682
0.600;12.469;4.330;89.605;0.001;0.683
27.600;3.729;4.436;91.787;0.067;0.750
27.600;3.729;4.436;91.365;0.067;0.817
18.400;3.729;4.436;91.787;0.045;0.862
1.400;59.784;10.241;49.214;0.003;0.866
18.400;3.729;4.436;91.787;0.045;0.910
9.200;3.729;4.436;91.787;0.022;0.933
27.600;3.729;4.436;91.787;0.067;1.000
Nilai fitness terbaik = 41.40009
Total fitness =  410.8004

