Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
3.400;17.312;3.259;40.104;0.015;0.015
86.400;10.146;43.032;59.405;0.392;0.407
49.800;4.931;10.297;42.701;0.226;0.633
2.400;10.276;1.050;95.035;0.011;0.644
11.600;29.399;5.733;74.807;0.053;0.696
25.800;76.217;9.719;96.513;0.117;0.813
1.600;17.753;52.008;72.278;0.007;0.820
5.200;57.701;5.069;85.520;0.024;0.844
1.400;2.513;36.405;71.133;0.006;0.850
15.200;9.656;25.425;51.654;0.069;0.919
11.000;12.817;76.001;93.719;0.050;0.969
6.800;23.294;11.131;54.288;0.031;1.000
Nilai fitness terbaik = 86.39983
Total fitness =  220.6

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
19.600;10.276;9.719;54.288;0.109;0.109
1.200;29.399;1.050;96.513;0.007;0.115
20.400;4.931;3.259;93.719;0.113;0.229
20.400;4.931;3.259;93.719;0.113;0.342
1.200;29.399;1.050;96.513;0.007;0.349
1.200;29.399;1.050;96.513;0.007;0.355
5.800;76.217;5.733;85.520;0.032;0.387
1.200;29.399;1.050;96.513;0.007;0.394
11.200;81.582;11.131;74.807;0.062;0.456
5.800;76.217;5.733;85.520;0.032;0.488
2.400;29.399;1.050;96.513;0.013;0.502
11.200;17.753;11.131;74.807;0.062;0.564
1.200;29.399;1.050;96.513;0.007;0.570
9.800;10.276;9.719;54.288;0.054;0.625
9.800;10.276;9.719;54.288;0.054;0.679
1.200;29.399;1.050;96.513;0.007;0.686
1.200;29.399;1.050;96.513;0.007;0.693
10.400;10.146;5.069;71.133;0.058;0.750
5.800;76.217;5.733;85.520;0.032;0.782
5.800;76.217;5.733;85.520;0.032;0.815
10.400;12.817;10.297;59.405;0.058;0.872
5.600;23.294;7.884;40.104;0.031;0.903
7.000;17.753;11.131;74.807;0.039;0.942
10.400;12.817;10.297;59.405;0.058;1.000
Nilai fitness terbaik = 20.40001
Total fitness =  180.2

Generasi 3
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
5.600;76.217;11.131;85.520;0.015;0.015
46.400;4.931;5.733;96.513;0.124;0.139
19.600;12.817;9.719;93.719;0.052;0.192
3.600;10.276;1.050;96.513;0.010;0.201
5.200;12.817;5.069;74.807;0.014;0.215
1.200;29.399;1.050;96.513;0.003;0.219
10.400;29.399;10.297;59.405;0.028;0.246
11.200;10.276;11.131;93.719;0.030;0.276
11.600;23.294;5.733;54.288;0.031;0.307
7.200;10.146;1.050;85.520;0.019;0.327
15.600;12.817;15.584;93.719;0.042;0.369
10.400;12.817;5.069;74.807;0.028;0.396
3.400;29.399;3.259;40.104;0.009;0.405
10.400;10.276;10.297;54.288;0.028;0.433
11.600;29.399;5.733;74.807;0.031;0.464
6.000;10.146;1.050;85.520;0.016;0.480
8.000;63.042;9.719;93.719;0.021;0.502
15.600;12.817;5.069;74.807;0.042;0.544
3.600;10.146;1.050;85.520;0.010;0.553
1.200;76.217;1.050;85.520;0.003;0.557
4.800;10.276;1.050;96.513;0.013;0.569
9.800;17.753;9.719;96.513;0.026;0.596
19.600;12.817;9.719;15.283;0.052;0.648
5.200;12.817;5.069;74.807;0.014;0.662
10.400;12.817;5.069;74.807;0.028;0.690
10.400;12.817;5.069;74.807;0.028;0.718
11.200;76.217;11.131;71.133;0.030;0.748
1.200;76.217;1.050;85.328;0.003;0.751
9.800;12.817;9.719;93.719;0.026;0.777
3.600;10.146;1.050;85.520;0.010;0.787
9.600;4.931;1.050;54.288;0.026;0.813
29.400;12.817;9.719;93.719;0.079;0.891
11.200;78.441;11.131;71.133;0.030;0.921
11.200;10.276;11.131;93.719;0.030;0.951
3.400;17.753;3.259;85.520;0.009;0.960
1.200;29.399;1.050;96.513;0.003;0.964
11.200;10.276;11.131;93.719;0.030;0.994
2.400;10.276;1.050;96.513;0.006;1.000
Nilai fitness terbaik = 46.4001
Total fitness =  373.4

Generasi 4
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
7.600;10.276;11.131;96.513;0.012;0.012
1.200;12.817;1.050;93.719;0.002;0.014
22.400;10.276;11.131;88.510;0.037;0.051
2.400;10.276;1.050;93.719;0.004;0.055
9.800;10.276;9.719;74.807;0.016;0.071
10.400;12.817;10.297;74.807;0.017;0.088
15.600;10.146;5.069;85.520;0.026;0.114
17.400;12.817;17.348;93.719;0.029;0.143
2.400;10.276;1.050;74.807;0.004;0.147
9.800;12.817;9.719;74.807;0.016;0.163
2.400;12.817;1.050;74.807;0.004;0.167
44.800;10.276;11.131;96.513;0.074;0.240
19.600;10.276;9.719;54.288;0.032;0.272
6.800;10.276;11.131;96.513;0.011;0.284
5.800;10.146;5.733;93.719;0.010;0.293
1.200;12.817;1.050;93.719;0.002;0.295
9.800;78.441;9.719;71.133;0.016;0.311
5.200;10.146;5.069;85.520;0.009;0.320
11.200;10.146;11.131;96.513;0.018;0.338
19.600;12.817;9.719;93.719;0.032;0.370
5.800;10.146;5.733;93.719;0.010;0.380
5.200;12.817;5.069;71.133;0.009;0.388
5.800;10.146;5.733;93.719;0.010;0.398
2.600;76.217;5.733;59.405;0.004;0.402
6.400;10.146;5.733;93.719;0.011;0.413
67.200;4.931;11.131;57.553;0.110;0.523
1.200;12.817;1.050;93.852;0.002;0.525
2.400;12.817;1.050;74.807;0.004;0.529
10.400;10.146;5.069;85.520;0.017;0.546
8.200;12.817;11.131;85.520;0.013;0.560
2.400;29.399;1.050;96.513;0.004;0.564
11.600;10.146;5.733;93.719;0.019;0.583
5.800;10.146;5.733;93.719;0.010;0.592
1.200;17.753;1.050;54.288;0.002;0.594
1.200;10.276;1.050;74.807;0.002;0.596
2.400;12.817;1.050;93.719;0.004;0.600
5.800;76.217;5.733;59.405;0.010;0.610
56.000;4.931;11.131;93.719;0.092;0.702
19.600;24.286;9.719;93.719;0.032;0.734
5.000;12.817;5.069;93.719;0.008;0.742
2.400;10.276;1.050;96.513;0.004;0.746
3.600;10.276;1.050;38.519;0.006;0.752
4.800;12.817;1.050;93.719;0.008;0.760
3.600;12.817;1.050;93.719;0.006;0.766
1.200;17.753;1.050;81.543;0.002;0.768
1.200;12.817;1.050;93.719;0.002;0.770
1.200;12.817;1.050;74.807;0.002;0.772
5.200;12.817;5.069;74.807;0.009;0.780
2.400;12.817;1.050;74.807;0.004;0.784
9.800;10.276;9.719;74.807;0.016;0.800
1.200;29.399;1.050;54.288;0.002;0.802
2.400;12.817;1.050;74.807;0.004;0.806
83.200;4.931;10.297;85.520;0.137;0.943
11.600;10.146;5.733;93.719;0.019;0.962
6.200;63.042;6.128;85.520;0.010;0.972
11.200;12.817;11.131;85.520;0.018;0.990
5.800;76.217;5.733;59.405;0.010;1.000
Nilai fitness terbaik = 83.19987
Total fitness =  608.6003

Generasi 5
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
4.800;78.441;9.719;96.513;0.006;0.006
2.400;12.817;1.050;71.133;0.003;0.009
11.200;4.931;11.131;96.513;0.014;0.022
9.800;12.817;9.719;93.719;0.012;0.034
14.200;10.146;11.131;93.719;0.017;0.051
11.600;10.146;5.733;85.520;0.014;0.065
11.200;10.146;11.131;93.719;0.014;0.079
17.400;10.276;5.733;38.304;0.021;0.100
9.800;78.441;9.719;96.513;0.012;0.112
17.400;10.276;17.348;93.719;0.021;0.133
33.600;10.146;11.131;93.719;0.041;0.174
6.600;10.146;71.468;93.719;0.008;0.182
1.600;78.441;9.719;96.513;0.002;0.184
10.400;10.276;5.069;96.513;0.013;0.196
41.600;4.931;5.069;38.519;0.050;0.246
23.200;10.146;5.733;93.719;0.028;0.275
5.200;10.146;5.069;74.807;0.006;0.281
