Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
2.400;38.738;2.293;41.285;0.016;0.016
18.600;98.071;18.577;68.063;0.126;0.142
1.200;86.942;17.053;38.638;0.008;0.150
16.000;30.456;15.811;72.894;0.108;0.259
57.000;27.150;56.860;55.249;0.386;0.645
52.400;5.876;52.368;86.412;0.355;1.000
Nilai fitness terbaik = 57.00014
Total fitness =  147.6003

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
57.000;5.876;56.860;68.063;0.486;0.486
16.000;98.071;15.811;55.249;0.137;0.623
7.000;5.876;56.860;68.063;0.060;0.683
18.600;27.150;18.577;38.638;0.159;0.841
18.600;27.150;18.577;38.638;0.159;1.000
Nilai fitness terbaik = 57.00014
Total fitness =  117.2001

Generasi 3
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
18.600;5.876;18.577;68.063;0.018;0.018
44.000;5.876;18.577;68.063;0.042;0.060
32.000;5.876;15.811;55.249;0.031;0.091
37.200;5.876;18.577;68.063;0.036;0.127
48.000;5.876;15.811;55.249;0.046;0.173
18.600;27.150;18.577;38.638;0.018;0.191
48.000;5.876;15.811;55.249;0.046;0.238
32.000;5.876;15.811;55.249;0.031;0.269
32.000;5.876;15.811;55.249;0.031;0.299
37.200;5.876;18.577;68.063;0.036;0.335
32.000;5.876;15.811;55.249;0.031;0.366
16.000;5.876;15.811;55.249;0.015;0.382
43.600;5.876;15.811;55.249;0.042;0.424
1.000;5.876;15.811;55.249;0.001;0.425
48.000;5.876;15.811;55.249;0.046;0.471
32.000;5.876;15.811;55.249;0.031;0.502
21.600;5.876;7.140;55.249;0.021;0.523
32.000;5.876;15.811;55.249;0.031;0.553
18.600;5.876;18.577;68.063;0.018;0.571
85.400;5.876;19.178;55.249;0.082;0.654
32.000;5.876;15.811;55.249;0.031;0.685
16.000;5.876;15.811;60.594;0.015;0.700
64.000;5.876;15.811;79.722;0.062;0.762
48.000;5.876;15.811;67.011;0.046;0.808
32.000;5.876;15.811;55.249;0.031;0.839
16.000;92.871;15.811;55.249;0.015;0.854
32.000;5.876;15.811;55.249;0.031;0.885
33.800;5.876;15.811;55.249;0.033;0.918
48.000;5.876;15.811;55.249;0.046;0.964
37.200;5.876;18.577;68.063;0.036;1.000
Nilai fitness terbaik = 85.39984
Total fitness =  1036.802

Generasi 4
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
38.400;5.876;19.178;55.249;0.018;0.018
28.200;5.876;15.811;55.249;0.013;0.031
37.200;5.876;18.577;55.249;0.017;0.048
32.000;5.876;15.811;55.249;0.015;0.063
48.000;5.876;15.811;67.011;0.022;0.085
64.000;5.876;15.811;79.722;0.030;0.114
32.000;5.876;15.811;55.249;0.015;0.129
26.000;5.876;25.965;55.249;0.012;0.141
19.200;5.876;19.178;55.249;0.009;0.150
48.000;5.876;15.811;79.722;0.022;0.172
42.600;5.876;15.811;55.249;0.020;0.192
48.000;5.876;15.811;55.249;0.022;0.214
48.000;5.876;15.811;55.249;0.022;0.236
37.200;5.876;18.577;55.249;0.017;0.253
48.000;5.876;15.811;55.249;0.022;0.275
32.000;5.876;15.811;93.602;0.015;0.290
16.800;5.876;15.811;52.427;0.008;0.298
32.000;5.876;15.811;55.249;0.015;0.312
64.000;5.876;15.811;79.722;0.030;0.342
37.200;5.876;18.577;55.249;0.017;0.359
32.000;5.876;15.811;55.249;0.015;0.374
38.400;5.876;19.178;55.249;0.018;0.392
32.000;5.876;15.811;79.722;0.015;0.406
16.000;5.876;15.811;55.249;0.007;0.414
29.000;5.876;18.577;38.638;0.013;0.427
32.000;5.876;15.811;55.249;0.015;0.442
32.000;5.876;15.811;55.249;0.015;0.457
18.600;5.876;18.577;55.249;0.009;0.465
32.000;5.876;15.811;55.249;0.015;0.480
48.000;5.876;15.811;55.249;0.022;0.502
48.000;5.876;15.811;55.249;0.022;0.524
46.200;5.876;18.577;68.063;0.021;0.545
46.400;5.876;15.811;55.249;0.021;0.567
41.000;5.876;15.811;55.249;0.019;0.586
38.400;5.876;19.178;55.249;0.018;0.603
32.000;5.876;15.811;68.063;0.015;0.618
37.600;5.876;18.577;62.803;0.017;0.636
48.000;5.876;15.811;55.249;0.022;0.658
37.800;5.876;15.811;55.249;0.017;0.675
32.000;5.876;15.811;55.249;0.015;0.690
64.000;5.876;15.811;79.722;0.030;0.719
4.400;27.683;15.811;55.249;0.002;0.721
