Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
41.600;4.682;3.088;11.237;0.227;0.227
14.600;30.013;75.095;92.890;0.080;0.307
15.000;15.991;16.636;56.386;0.082;0.389
28.400;32.918;28.267;37.437;0.155;0.544
3.600;69.255;3.437;49.430;0.020;0.563
6.600;88.637;6.418;74.805;0.036;0.599
8.800;12.568;4.355;73.771;0.048;0.647
34.000;6.474;33.983;79.693;0.186;0.833
30.600;43.721;30.542;91.247;0.167;1.000
Nilai fitness terbaik = 41.60009
Total fitness =  183.2002

