Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
90.400;3.219;5.722;78.916;0.297;0.297
43.200;3.986;43.040;38.103;0.142;0.439
25.200;4.400;21.244;36.966;0.083;0.522
43.800;23.177;43.627;70.144;0.144;0.666
17.800;38.706;17.620;38.036;0.059;0.725
3.600;2.780;87.537;36.024;0.012;0.736
33.000;83.056;32.840;97.606;0.108;0.845
44.400;5.930;7.399;24.091;0.146;0.991
2.800;43.217;2.713;56.644;0.009;1.000
Nilai fitness terbaik = 90.39977
Total fitness =  304.2001

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
141.599;3.986;35.235;97.606;0.134;0.134
43.800;4.400;43.627;78.916;0.042;0.176
19.600;3.986;2.713;97.606;0.019;0.195
25.200;3.986;2.713;97.606;0.024;0.219
14.000;3.986;2.713;97.606;0.013;0.232
22.400;3.986;2.713;97.606;0.021;0.253
43.800;4.400;43.627;78.916;0.042;0.295
42.800;5.930;21.244;38.036;0.041;0.335
22.400;3.986;2.713;97.606;0.021;0.357
14.000;3.986;2.713;97.606;0.013;0.370
99.000;3.986;32.922;97.606;0.094;0.464
22.400;3.986;2.713;97.606;0.021;0.485
25.200;3.986;2.713;97.606;0.024;0.509
31.000;5.930;21.244;38.036;0.029;0.539
43.800;4.400;43.627;78.916;0.042;0.580
22.400;5.930;21.244;38.036;0.021;0.601
7.400;83.056;7.399;70.144;0.007;0.608
25.200;3.986;2.713;97.606;0.024;0.632
22.400;3.986;2.713;97.606;0.021;0.654
21.400;5.930;21.244;38.036;0.020;0.674
2.400;23.177;32.840;36.966;0.002;0.676
4.200;23.177;32.840;36.966;0.004;0.680
7.400;23.177;7.241;36.966;0.007;0.687
52.200;3.219;5.722;56.644;0.050;0.737
33.000;23.177;32.840;29.773;0.031;0.768
55.400;3.219;5.722;84.664;0.053;0.821
25.200;3.986;2.713;97.606;0.024;0.845
22.400;3.986;2.713;97.606;0.021;0.866
18.000;3.986;2.817;97.606;0.017;0.883
22.400;3.986;2.713;94.070;0.021;0.904
14.000;3.986;2.713;97.606;0.013;0.918
19.600;3.986;2.713;97.606;0.019;0.936
22.400;3.986;2.713;97.606;0.021;0.957
19.600;3.986;2.713;97.606;0.019;0.976
25.200;3.986;2.713;97.606;0.024;1.000
Nilai fitness terbaik = 141.599
Total fitness =  1053.2

