Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
6.800;54.482;22.491;45.186;0.026;0.026
100.800;10.660;14.352;49.914;0.378;0.404
148.799;4.042;16.010;98.788;0.559;0.962
2.800;29.682;1.371;51.299;0.011;0.973
3.800;95.920;3.784;29.700;0.014;0.987
3.400;10.119;3.396;79.694;0.013;1.000
Nilai fitness terbaik = 148.7989
Total fitness =  266.3984

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
28.800;10.660;14.352;29.700;0.026;0.026
28.800;10.660;14.352;92.428;0.026;0.052
81.400;4.042;16.010;45.186;0.073;0.125
16.200;4.042;16.010;45.186;0.015;0.139
64.800;4.042;16.010;45.186;0.058;0.197
14.400;10.660;14.352;29.700;0.013;0.210
32.400;4.042;16.010;45.186;0.029;0.239
48.600;4.042;16.010;45.186;0.044;0.283
32.600;4.042;16.010;45.186;0.029;0.312
14.400;10.660;14.352;85.537;0.013;0.325
22.600;54.482;22.491;65.670;0.020;0.345
14.400;10.660;14.352;29.700;0.013;0.358
14.400;10.660;14.352;29.700;0.013;0.371
32.400;4.042;16.010;45.186;0.029;0.400
14.400;10.660;14.352;29.700;0.013;0.413
32.400;4.042;16.010;45.186;0.029;0.442
64.800;4.042;16.010;45.186;0.058;0.500
48.600;4.042;16.010;45.186;0.044;0.543
32.400;4.042;16.010;45.186;0.029;0.572
48.600;4.042;16.010;45.186;0.044;0.616
6.800;10.660;14.352;29.700;0.006;0.622
14.400;10.660;14.352;29.700;0.013;0.635
16.200;4.042;16.010;45.186;0.015;0.649
6.000;11.543;16.010;45.186;0.005;0.655
16.200;4.042;16.010;45.186;0.015;0.669
48.600;4.042;16.010;45.186;0.044;0.713
6.200;10.660;14.352;29.700;0.006;0.718
14.400;10.660;14.352;29.700;0.013;0.731
3.400;6.322;3.396;79.694;0.003;0.734
21.200;4.042;16.010;45.186;0.019;0.753
32.400;4.042;16.010;45.186;0.029;0.782
32.400;4.042;16.010;45.186;0.029;0.811
32.400;4.042;16.010;45.186;0.029;0.840
81.000;4.042;16.010;45.186;0.073;0.913
32.400;4.042;16.010;45.186;0.029;0.942
32.400;4.042;16.010;45.186;0.029;0.971
32.400;4.042;16.010;45.186;0.029;1.000
Nilai fitness terbaik = 81.3999
Total fitness =  1116.201

