Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
102.400;4.464;33.632;93.977;0.148;0.148
12.800;5.702;6.294;25.591;0.018;0.166
91.200;2.970;7.518;90.088;0.131;0.297
15.600;14.066;15.452;29.406;0.022;0.320
12.600;49.600;12.400;41.528;0.018;0.338
122.799;3.282;23.589;47.519;0.177;0.515
9.600;6.221;3.023;70.495;0.014;0.529
2.000;84.335;1.929;22.178;0.003;0.532
98.600;2.650;5.705;53.993;0.142;0.674
17.200;84.627;17.191;61.962;0.025;0.699
181.198;4.282;60.379;60.450;0.261;0.960
28.000;42.385;27.926;87.751;0.040;1.000
Nilai fitness terbaik = 181.1984
Total fitness =  693.9966

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
6.400;5.702;3.023;60.450;0.005;0.005
3.200;5.702;3.023;60.450;0.003;0.008
6.400;6.221;15.452;29.406;0.005;0.013
3.200;5.702;3.023;60.450;0.003;0.015
6.400;5.702;3.023;60.450;0.005;0.020
34.400;2.650;17.191;70.495;0.027;0.047
9.600;5.702;3.023;60.450;0.008;0.055
43.600;6.221;15.452;29.406;0.034;0.089
9.000;3.282;7.518;25.591;0.007;0.097
0.400;2.650;17.191;70.495;0.000;0.097
12.800;5.702;3.023;60.450;0.010;0.107
3.200;5.702;3.023;60.450;0.003;0.109
9.600;5.702;3.023;60.450;0.008;0.117
68.800;2.650;17.191;70.495;0.054;0.171
51.600;2.650;17.191;70.495;0.041;0.212
91.800;2.650;17.191;70.495;0.073;0.285
39.600;2.650;17.191;70.495;0.031;0.316
9.600;5.702;3.023;60.450;0.008;0.324
32.000;4.282;6.294;53.993;0.025;0.349
12.800;5.702;3.023;60.450;0.010;0.359
17.200;2.650;17.191;70.495;0.014;0.373
4.800;2.650;17.191;70.495;0.004;0.376
2.800;5.702;65.819;60.450;0.002;0.379
25.600;4.282;6.294;53.993;0.020;0.399
68.800;2.650;17.191;70.495;0.054;0.453
9.600;5.702;3.023;60.450;0.008;0.461
17.600;84.627;23.589;61.962;0.014;0.475
38.400;4.282;6.294;53.993;0.030;0.505
63.200;2.650;17.191;70.495;0.050;0.555
5.800;14.066;5.705;87.751;0.005;0.559
8.400;6.221;8.382;29.406;0.007;0.566
16.000;5.702;3.023;60.450;0.013;0.579
16.000;5.702;3.023;60.450;0.013;0.591
5.800;14.066;5.705;87.751;0.005;0.596
16.000;5.702;3.023;60.450;0.013;0.609
68.800;2.650;17.191;70.495;0.054;0.663
3.200;5.702;3.023;60.450;0.003;0.666
9.600;5.702;3.023;60.450;0.008;0.673
103.200;2.650;17.191;70.495;0.082;0.755
15.600;6.221;15.452;29.406;0.012;0.767
28.000;2.970;27.926;41.528;0.022;0.789
112.199;2.650;17.191;70.495;0.089;0.878
38.000;3.282;7.518;25.591;0.030;0.908
9.600;5.702;3.023;60.450;0.008;0.915
15.600;6.221;15.452;29.406;0.012;0.928
68.800;2.650;17.191;70.495;0.054;0.982
22.800;3.282;7.518;25.591;0.018;1.000
Nilai fitness terbaik = 112.1994
Total fitness =  1265.8

