Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
7.600;9.287;7.544;80.197;0.015;0.015
73.200;4.347;12.011;89.399;0.143;0.158
72.000;3.218;5.881;65.273;0.141;0.299
16.200;1.680;5.389;44.963;0.032;0.331
15.800;95.772;15.757;99.838;0.031;0.362
179.598;4.292;89.627;94.304;0.352;0.714
10.200;48.509;10.080;82.448;0.020;0.734
22.200;98.199;22.036;96.344;0.043;0.777
3.200;22.174;16.284;92.329;0.006;0.783
2.400;12.969;2.251;43.834;0.005;0.788
91.400;12.811;91.264;69.019;0.179;0.967
15.600;66.221;15.418;90.186;0.031;0.998
1.200;73.577;1.006;60.504;0.002;1.000
Nilai fitness terbaik = 179.5984
Total fitness =  510.5982

