Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
4.800;37.587;18.799;83.362;0.018;0.018
111.000;5.482;30.024;75.612;0.407;0.425
20.200;55.446;20.199;60.239;0.074;0.499
10.600;80.034;20.711;80.487;0.039;0.538
8.200;26.478;8.040;77.720;0.030;0.568
10.800;51.389;5.369;99.850;0.040;0.607
9.200;14.846;9.082;70.733;0.034;0.641
50.200;11.250;50.084;74.167;0.184;0.825
4.800;39.592;4.789;62.037;0.018;0.843
14.800;91.081;17.879;83.961;0.054;0.897
28.000;3.952;5.427;48.015;0.103;1.000
Nilai fitness terbaik = 110.9995
Total fitness =  272.5996

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
150.999;3.952;30.024;83.961;0.119;0.119
4.800;14.846;4.789;70.200;0.004;0.123
11.200;26.478;5.427;48.015;0.009;0.132
5.600;26.478;5.427;48.015;0.004;0.137
5.600;26.478;5.427;14.705;0.004;0.141
14.400;14.846;4.789;77.720;0.011;0.152
102.000;5.482;16.823;80.487;0.081;0.233
5.400;37.587;5.369;60.239;0.004;0.237
41.600;5.482;20.711;80.487;0.033;0.270
4.800;14.846;4.789;77.720;0.004;0.274
41.600;5.482;20.711;80.487;0.033;0.307
30.200;3.952;30.024;48.520;0.024;0.331
9.600;14.846;4.789;77.720;0.008;0.338
5.600;26.478;5.427;48.015;0.004;0.343
50.200;23.873;50.084;99.850;0.040;0.382
5.600;26.478;5.427;48.015;0.004;0.387
94.400;3.952;23.478;83.961;0.075;0.462
60.400;3.952;30.024;83.961;0.048;0.509
5.400;37.587;5.369;60.239;0.004;0.514
5.600;26.478;5.427;48.015;0.004;0.518
11.200;26.478;5.427;48.015;0.009;0.527
11.200;28.884;5.427;48.015;0.009;0.536
48.000;3.279;4.789;77.720;0.038;0.574
60.400;3.952;30.024;83.961;0.048;0.621
5.600;26.478;5.427;48.015;0.004;0.626
5.400;37.587;5.369;60.239;0.004;0.630
90.600;3.952;30.024;83.961;0.072;0.702
5.600;26.478;5.427;48.015;0.004;0.706
5.600;26.478;5.427;48.015;0.004;0.711
11.200;26.478;5.427;48.015;0.009;0.720
66.400;3.952;66.249;83.961;0.053;0.772
5.600;26.478;5.427;48.015;0.004;0.776
32.800;3.952;30.024;83.961;0.026;0.802
90.600;3.952;30.024;83.961;0.072;0.874
90.600;3.952;30.024;83.961;0.072;0.946
2.600;26.478;5.427;48.015;0.002;0.948
5.600;26.478;5.427;48.015;0.004;0.952
60.400;3.952;30.024;83.961;0.048;1.000
Nilai fitness terbaik = 150.9988
Total fitness =  1264.398

Generasi 3
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
44.800;3.952;5.427;48.015;0.035;0.035
22.400;3.952;5.427;48.015;0.018;0.053
11.200;26.478;5.427;48.015;0.009;0.061
5.600;26.478;5.427;21.952;0.004;0.066
27.400;3.952;5.427;80.487;0.021;0.087
34.000;3.952;16.823;48.015;0.027;0.114
30.200;3.952;30.024;48.520;0.024;0.137
28.000;3.952;5.427;80.487;0.022;0.159
4.800;28.884;4.789;83.961;0.004;0.163
16.800;3.279;5.427;83.961;0.013;0.176
11.200;3.952;5.427;43.291;0.009;0.185
39.200;3.952;5.427;83.961;0.031;0.215
5.600;26.478;5.427;48.015;0.004;0.220
28.000;3.952;5.427;48.015;0.022;0.242
22.400;3.952;5.427;48.015;0.018;0.259
30.200;3.952;30.024;77.720;0.024;0.283
33.600;3.952;5.427;80.487;0.026;0.309
11.200;3.952;5.427;83.961;0.009;0.318
4.800;14.846;4.789;83.961;0.004;0.322
5.600;26.478;5.427;48.015;0.004;0.326
5.400;26.478;5.369;48.015;0.004;0.330
28.800;3.952;4.789;70.200;0.023;0.353
38.400;3.952;4.789;70.200;0.030;0.383
4.800;14.846;4.789;83.961;0.004;0.387
39.200;3.952;5.427;83.961;0.031;0.417
30.200;3.952;30.024;48.520;0.024;0.441
33.600;3.952;4.789;70.200;0.026;0.467
14.800;26.478;50.084;83.961;0.012;0.479
4.800;10.670;4.789;48.015;0.004;0.482
44.800;3.952;5.427;48.015;0.035;0.517
28.000;3.952;5.427;83.961;0.022;0.539
60.400;3.952;30.024;83.961;0.047;0.587
7.400;5.482;30.024;48.015;0.006;0.592
30.200;3.952;30.024;83.961;0.024;0.616
60.400;3.952;30.024;83.961;0.047;0.663
33.600;3.952;5.427;48.015;0.026;0.689
9.600;3.952;4.789;70.200;0.008;0.697
44.800;3.952;5.427;83.961;0.035;0.732
5.600;86.303;5.427;80.487;0.004;0.736
23.600;90.388;23.478;83.961;0.018;0.755
30.200;5.482;30.024;48.015;0.024;0.778
30.200;3.952;30.024;48.520;0.024;0.802
30.200;3.952;30.024;83.961;0.024;0.826
22.400;3.952;5.427;80.487;0.018;0.843
28.000;3.952;5.427;80.487;0.022;0.865
32.200;5.482;30.024;87.614;0.025;0.890
83.200;3.952;20.711;80.487;0.065;0.955
4.800;14.846;4.789;83.961;0.004;0.959
4.800;26.478;4.789;34.737;0.004;0.963
44.800;3.952;5.427;48.015;0.035;0.998
2.800;3.952;30.024;48.520;0.002;1.000
Nilai fitness terbaik = 83.19987
Total fitness =  1279.002

Generasi 4
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
4.800;3.952;4.789;48.015;0.003;0.003
1.200;3.952;30.024;80.487;0.001;0.004
28.000;3.952;5.427;83.961;0.020;0.024
9.600;3.952;4.789;83.961;0.007;0.030
11.200;3.952;5.427;48.015;0.008;0.038
11.200;3.952;5.427;80.487;0.008;0.046
30.200;3.952;30.024;80.487;0.021;0.067
9.600;3.952;4.789;48.015;0.007;0.074
9.600;3.952;4.789;83.961;0.007;0.081
60.400;3.952;30.024;80.487;0.042;0.123
16.800;3.952;5.427;83.961;0.012;0.135
28.000;3.952;5.427;83.961;0.020;0.154
33.600;3.952;5.427;80.487;0.023;0.178
30.200;3.952;30.024;48.015;0.021;0.199
5.600;3.952;5.427;80.487;0.004;0.203
5.600;3.952;5.427;80.487;0.004;0.206
28.000;3.952;5.427;81.764;0.020;0.226
19.200;3.952;4.789;48.015;0.013;0.239
33.600;3.952;4.789;25.906;0.023;0.263
30.200;3.279;30.024;48.520;0.021;0.284
22.400;5.482;5.427;48.015;0.016;0.300
4.800;3.952;4.789;48.015;0.003;0.303
33.600;3.952;5.427;83.961;0.023;0.326
11.200;3.952;5.427;12.703;0.008;0.334
16.800;3.952;5.427;86.349;0.012;0.346
30.200;5.482;30.024;83.961;0.021;0.367
20.800;3.952;20.711;57.890;0.015;0.382
5.600;3.952;5.427;80.487;0.004;0.386
16.800;5.482;5.427;48.015;0.012;0.397
30.200;3.952;30.024;83.961;0.021;0.418
5.600;3.952;5.427;48.015;0.004;0.422
30.200;3.279;30.024;48.520;0.021;0.443
11.200;3.952;5.427;93.922;0.008;0.451
4.800;3.952;4.789;83.961;0.003;0.455
4.800;3.952;4.789;70.200;0.003;0.458
30.200;5.482;30.024;83.961;0.021;0.479
5.600;5.482;5.427;48.015;0.004;0.483
37.200;3.952;37.007;83.961;0.026;0.509
16.800;5.482;5.427;48.015;0.012;0.521
9.600;3.952;4.789;70.200;0.007;0.527
30.200;3.952;30.024;83.961;0.021;0.548
22.400;3.952;5.427;48.015;0.016;0.564
4.800;3.952;4.789;70.200;0.003;0.567
16.800;5.482;5.427;48.015;0.012;0.579
16.800;3.952;5.427;83.961;0.012;0.591
11.200;3.952;5.427;83.961;0.008;0.599
11.200;3.952;5.427;80.487;0.008;0.607
5.600;3.952;5.427;48.520;0.004;0.610
28.800;3.952;4.789;70.200;0.020;0.631
30.200;3.952;30.024;80.487;0.021;0.652
19.200;3.952;4.789;70.200;0.013;0.665
11.200;3.952;5.427;83.961;0.008;0.673
11.200;3.952;5.427;83.961;0.008;0.681
33.600;3.952;5.427;83.961;0.023;0.704
16.800;5.482;5.427;48.015;0.012;0.716
33.600;3.952;5.427;48.015;0.023;0.739
16.800;3.952;4.789;70.200;0.012;0.751
19.200;3.952;4.789;48.015;0.013;0.764
39.200;3.952;5.427;48.015;0.027;0.792
22.400;3.952;5.427;56.172;0.016;0.808
30.200;3.952;30.024;83.961;0.021;0.829
16.800;3.952;5.427;83.961;0.012;0.840
11.200;3.952;5.427;80.487;0.008;0.848
5.600;3.952;5.427;48.015;0.004;0.852
47.200;3.952;23.478;70.200;0.033;0.885
16.800;5.482;5.427;82.034;0.012;0.897
11.200;3.952;5.427;48.015;0.008;0.905
30.200;3.952;30.024;77.720;0.021;0.926
22.400;3.952;5.427;83.961;0.016;0.941
22.400;3.952;5.427;80.487;0.016;0.957
5.600;3.952;5.427;80.487;0.004;0.961
33.600;3.952;5.427;48.015;0.023;0.984
22.400;3.952;5.427;48.015;0.016;1.000
Nilai fitness terbaik = 60.40016
Total fitness =  1431.801

Generasi 5
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
16.800;3.952;5.427;80.487;0.011;0.011
49.400;5.482;30.024;77.720;0.032;0.043
16.800;3.952;5.427;70.200;0.011;0.054
11.200;3.952;5.427;83.961;0.007;0.062
33.600;3.952;5.427;80.487;0.022;0.084
19.200;3.952;4.789;48.015;0.013;0.096
5.600;5.482;5.427;57.890;0.004;0.100
5.600;3.952;5.427;48.015;0.004;0.103
5.600;3.952;5.427;83.961;0.004;0.107
16.800;3.952;5.427;83.961;0.011;0.118
11.200;3.952;5.427;48.015;0.007;0.125
22.400;3.952;5.427;80.487;0.015;0.140
30.200;3.952;30.024;48.015;0.020;0.160
19.200;3.952;4.789;83.961;0.013;0.172
30.200;3.952;30.024;70.200;0.020;0.192
11.200;5.482;5.427;57.890;0.007;0.199
16.800;5.482;5.427;57.890;0.011;0.210
30.200;5.482;30.024;70.200;0.020;0.230
16.800;5.482;5.427;57.890;0.011;0.241
5.600;3.952;5.427;80.487;0.004;0.245
60.400;3.952;30.024;70.200;0.039;0.284
28.400;3.952;28.232;83.961;0.019;0.303
30.200;3.952;30.024;80.487;0.020;0.323
22.400;3.952;5.427;80.487;0.015;0.337
32.800;5.482;30.024;77.720;0.021;0.359
11.200;3.952;5.427;83.961;0.007;0.366
47.200;5.482;23.478;80.487;0.031;0.397
22.400;3.952;5.427;83.961;0.015;0.412
28.000;3.952;5.427;25.906;0.018;0.430
16.800;5.482;5.427;57.890;0.011;0.441
60.400;3.952;30.024;70.200;0.039;0.480
28.800;3.952;4.789;83.961;0.019;0.499
11.200;3.952;5.427;83.961;0.007;0.507
14.400;3.952;4.789;81.764;0.009;0.516
22.400;3.952;5.427;48.015;0.015;0.531
11.200;3.952;5.427;48.015;0.007;0.538
11.200;3.952;5.427;46.551;0.007;0.545
16.800;3.952;5.427;48.015;0.011;0.556
11.200;3.279;5.427;80.487;0.007;0.564
11.200;3.952;5.427;83.961;0.007;0.571
11.200;5.482;5.427;48.015;0.007;0.578
22.400;3.952;5.427;48.520;0.015;0.593
5.600;3.952;5.427;25.906;0.004;0.597
19.200;3.952;4.789;83.961;0.013;0.609
11.200;5.482;5.427;83.961;0.007;0.616
14.400;3.952;4.789;48.015;0.009;0.626
11.200;5.482;5.427;93.922;0.007;0.633
16.800;3.952;5.427;48.015;0.011;0.644
30.200;3.952;30.024;83.961;0.020;0.664
9.600;3.952;4.789;83.961;0.006;0.670
22.400;3.952;5.427;74.355;0.015;0.685
30.200;3.952;30.024;70.200;0.020;0.705
19.200;3.952;4.789;83.961;0.013;0.717
16.800;3.952;5.427;25.906;0.011;0.728
41.000;5.482;30.024;77.720;0.027;0.755
16.800;3.952;5.427;48.015;0.011;0.766
16.800;5.482;5.427;57.890;0.011;0.777
41.600;3.952;20.711;83.961;0.027;0.804
11.200;5.482;5.427;48.015;0.007;0.811
30.200;3.952;30.024;70.200;0.020;0.831
16.800;5.482;5.427;83.961;0.011;0.842
11.200;3.952;5.427;25.906;0.007;0.849
33.600;3.952;5.427;80.487;0.022;0.871
11.200;3.952;5.427;80.487;0.007;0.879
30.200;3.952;30.024;70.200;0.020;0.899
4.800;3.952;4.789;70.200;0.003;0.902
8.000;3.952;4.789;48.015;0.005;0.907
28.000;3.952;5.427;25.906;0.018;0.925
5.600;3.952;5.427;48.015;0.004;0.929
19.200;3.952;4.789;26.472;0.013;0.941
28.000;3.952;5.427;80.487;0.018;0.960
22.400;3.952;5.427;70.200;0.015;0.974
5.600;85.096;5.427;80.487;0.004;0.978
16.800;3.952;5.427;48.015;0.011;0.989
16.800;3.952;5.427;83.961;0.011;1.000
Nilai fitness terbaik = 60.40016
Total fitness =  1529.202

Generasi 6
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
16.800;5.482;5.427;70.200;0.012;0.012
22.400;5.482;5.427;83.961;0.016;0.028
33.400;3.952;5.427;70.200;0.024;0.051
60.400;3.952;30.024;97.418;0.043;0.094
5.600;3.952;5.427;70.200;0.004;0.098
24.000;3.952;4.789;77.720;0.017;0.114
22.400;3.952;5.427;48.015;0.016;0.130
33.600;3.952;5.427;80.487;0.024;0.154
5.600;3.952;5.427;70.200;0.004;0.158
5.600;3.952;5.427;80.487;0.004;0.162
5.600;3.952;5.427;77.720;0.004;0.166
16.800;5.482;5.427;80.487;0.012;0.178
33.600;3.952;5.427;80.487;0.024;0.201
