Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
5.400;14.767;33.575;88.986;0.034;0.034
12.000;34.063;29.563;20.746;0.075;0.108
12.800;33.174;6.274;74.103;0.080;0.188
2.400;86.725;2.358;99.455;0.015;0.202
40.800;7.677;3.400;59.100;0.253;0.456
6.800;41.810;14.209;83.228;0.042;0.498
16.400;35.663;16.345;58.804;0.102;0.600
23.200;7.830;11.508;66.294;0.144;0.744
41.200;5.679;41.060;95.780;0.256;1.000
Nilai fitness terbaik = 41.20008
Total fitness =  161.0002

