Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
23.200;14.985;23.132;97.946;0.125;0.125
9.400;39.461;27.394;44.193;0.051;0.175
25.800;92.422;25.724;79.306;0.139;0.314
6.000;45.212;10.564;75.217;0.032;0.346
4.200;43.297;4.142;92.679;0.023;0.369
13.600;11.105;3.365;70.788;0.073;0.442
0.600;1.969;20.656;87.755;0.003;0.445
11.400;10.868;3.222;15.881;0.061;0.506
34.600;6.103;9.019;55.079;0.186;0.692
34.200;11.617;41.388;92.687;0.184;0.876
6.000;3.267;2.934;27.413;0.032;0.909
2.000;86.694;25.317;64.244;0.011;0.919
1.200;6.017;77.274;61.837;0.006;0.926
13.800;15.146;13.644;65.443;0.074;1.000
Nilai fitness terbaik = 34.60006
Total fitness =  186.0001

