Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
3.400;41.977;9.256;71.877;0.009;0.009
10.000;56.391;9.994;41.642;0.027;0.036
80.000;5.247;7.849;25.808;0.217;0.253
82.800;12.156;41.274;66.448;0.224;0.478
58.400;5.607;43.520;44.817;0.158;0.636
24.400;50.045;12.035;81.274;0.066;0.702
3.200;14.349;3.188;72.877;0.009;0.711
17.200;13.572;28.349;88.518;0.047;0.757
32.000;31.802;31.931;70.128;0.087;0.844
51.600;90.074;51.462;50.615;0.140;0.984
6.000;11.778;1.157;43.426;0.016;1.000
Nilai fitness terbaik = 82.79988
Total fitness =  369.0002

