Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
13.200;82.860;24.923;87.951;0.048;0.048
3.600;77.911;3.449;10.883;0.013;0.061
11.400;33.052;12.395;33.754;0.042;0.103
68.000;10.040;16.839;83.170;0.248;0.351
2.400;85.555;2.338;27.952;0.009;0.360
7.400;8.001;39.002;35.483;0.027;0.387
18.000;41.416;30.585;76.740;0.066;0.453
18.600;56.240;38.213;74.459;0.068;0.520
47.200;12.632;11.681;70.670;0.172;0.693
76.400;2.324;76.348;90.315;0.279;0.972
7.800;73.464;7.601;46.185;0.028;1.000
Nilai fitness terbaik = 76.39998
Total fitness =  274.0001

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
62.400;2.324;7.601;35.483;0.063;0.063
46.800;2.324;7.601;35.483;0.047;0.110
70.200;2.324;7.601;73.010;0.071;0.181
62.400;2.324;7.601;35.483;0.063;0.243
62.400;2.324;7.601;35.483;0.063;0.306
31.200;2.324;7.601;35.483;0.031;0.338
62.400;2.324;7.601;29.072;0.063;0.400
54.600;2.324;7.601;35.483;0.055;0.455
4.200;82.860;24.923;87.951;0.004;0.460
46.800;2.324;7.601;35.483;0.047;0.507
54.600;2.324;7.601;35.483;0.055;0.562
12.400;10.040;12.395;83.170;0.012;0.574
54.600;2.324;7.601;35.483;0.055;0.629
54.600;2.324;7.601;35.483;0.055;0.684
46.800;2.324;7.601;35.483;0.047;0.731
39.000;2.324;7.601;35.483;0.039;0.770
62.400;2.324;7.601;35.483;0.063;0.833
39.000;2.324;7.601;35.483;0.039;0.872
78.400;4.558;39.002;90.315;0.079;0.951
12.400;10.040;12.395;83.170;0.012;0.964
3.800;8.001;39.002;90.315;0.004;0.968
7.200;82.860;24.923;87.951;0.007;0.975
25.000;82.860;24.923;87.951;0.025;1.000
Nilai fitness terbaik = 78.39995
Total fitness =  993.6019

Generasi 3
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
7.800;2.324;7.601;35.483;0.005;0.005
15.600;2.324;7.601;83.170;0.009;0.014
50.000;2.324;24.923;87.951;0.029;0.043
15.600;2.324;7.601;35.483;0.009;0.052
15.600;2.324;7.601;31.344;0.009;0.061
12.600;2.324;12.395;29.072;0.007;0.068
23.400;2.324;7.601;83.170;0.014;0.082
7.800;2.324;7.601;73.010;0.005;0.087
31.200;2.324;7.601;83.170;0.018;0.105
