Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
46.400;1.039;14.028;39.777;0.242;0.242
8.400;98.034;8.335;95.105;0.044;0.286
25.600;20.576;12.600;36.530;0.134;0.420
14.400;39.928;14.255;95.387;0.075;0.495
6.000;6.792;59.918;74.535;0.031;0.527
5.400;31.962;5.288;35.197;0.028;0.555
56.200;5.757;25.602;45.879;0.294;0.848
11.400;34.520;47.768;92.026;0.060;0.908
2.200;13.423;2.050;53.821;0.011;0.920
3.200;36.294;12.558;84.589;0.017;0.936
12.200;83.253;12.176;69.481;0.064;1.000
Nilai fitness terbaik = 56.20014
Total fitness =  191.4003

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
25.200;5.757;8.335;95.387;0.029;0.029
25.200;5.757;8.335;95.387;0.029;0.057
50.400;5.757;8.335;95.387;0.057;0.114
33.600;5.757;8.335;95.387;0.038;0.152
34.000;5.757;8.335;78.085;0.038;0.191
58.800;5.757;8.335;95.387;0.067;0.257
50.400;5.757;8.335;95.387;0.057;0.314
42.000;5.757;8.335;95.387;0.048;0.362
88.200;1.039;12.558;36.530;0.100;0.461
14.400;34.520;14.255;84.589;0.016;0.478
12.800;13.423;12.600;69.481;0.014;0.492
42.000;5.757;8.335;95.387;0.048;0.540
8.400;92.202;8.335;95.387;0.010;0.549
2.200;20.576;2.050;45.879;0.002;0.552
16.800;5.757;8.335;95.387;0.019;0.571
6.600;20.576;2.050;45.879;0.007;0.578
22.000;5.757;8.335;95.387;0.025;0.603
10.400;41.537;12.600;69.481;0.012;0.615
2.200;20.576;2.050;45.879;0.002;0.617
17.000;13.423;12.600;69.481;0.019;0.637
42.000;5.757;8.335;95.387;0.048;0.684
2.200;20.576;2.050;45.879;0.002;0.687
14.400;34.520;14.255;84.589;0.016;0.703
42.000;5.757;8.335;79.597;0.048;0.750
28.800;34.520;14.255;84.589;0.033;0.783
25.200;5.757;8.335;95.387;0.029;0.811
8.400;5.757;8.335;15.169;0.010;0.821
2.200;20.576;2.050;45.879;0.002;0.823
25.200;5.757;8.335;95.387;0.029;0.852
8.800;20.576;2.050;45.879;0.010;0.862
12.800;13.423;12.600;69.481;0.014;0.876
50.400;5.757;8.335;95.387;0.057;0.933
16.800;5.757;8.335;95.387;0.019;0.952
42.000;5.757;8.335;95.387;0.048;1.000
Nilai fitness terbaik = 88.1998
Total fitness =  883.801

