Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
13.600;57.802;13.438;53.651;0.078;0.078
6.200;27.577;6.077;17.453;0.036;0.114
2.600;87.646;9.520;53.753;0.015;0.129
119.999;3.341;29.154;57.282;0.691;0.820
26.800;44.679;26.779;75.258;0.154;0.975
4.400;45.330;25.883;12.164;0.025;1.000
Nilai fitness terbaik = 119.9993
Total fitness =  173.5993

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
13.600;57.802;13.438;57.282;0.076;0.076
13.600;57.802;13.438;57.282;0.076;0.153
2.200;15.205;29.154;53.753;0.012;0.165
29.200;44.679;29.154;53.753;0.164;0.330
105.600;3.341;9.520;75.258;0.594;0.924
13.600;57.802;13.438;57.282;0.076;1.000
Nilai fitness terbaik = 105.5995
Total fitness =  177.7995

Generasi 3
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
9.600;57.802;9.520;75.258;0.035;0.035
13.600;57.802;13.438;57.282;0.050;0.086
34.000;3.341;29.154;53.753;0.126;0.211
9.600;57.802;9.520;75.258;0.035;0.247
4.200;15.205;13.438;57.282;0.016;0.262
9.600;57.802;9.520;75.258;0.035;0.298
13.600;66.612;13.438;57.282;0.050;0.348
9.600;29.339;9.520;75.258;0.035;0.383
27.200;15.205;13.438;57.282;0.100;0.484
9.600;57.802;9.520;75.258;0.035;0.519
9.600;57.802;9.520;75.258;0.035;0.555
9.600;57.802;9.520;75.258;0.035;0.590
19.200;57.802;9.520;75.258;0.071;0.661
9.600;57.802;9.520;75.258;0.035;0.696
19.200;57.802;9.520;75.258;0.071;0.767
9.600;57.802;9.520;75.258;0.035;0.803
13.600;15.205;13.438;57.282;0.050;0.853
9.600;57.802;9.520;75.258;0.035;0.888
29.200;57.802;29.154;53.753;0.108;0.996
1.000;15.205;13.438;57.282;0.004;1.000
Nilai fitness terbaik = 34.00006
Total fitness =  270.8

Generasi 4
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
13.600;57.802;13.438;75.258;0.018;0.018
61.400;3.341;9.520;75.258;0.080;0.098
13.600;66.612;13.438;75.258;0.018;0.116
9.600;57.802;9.520;57.282;0.013;0.128
19.200;29.339;9.520;53.753;0.025;0.153
76.800;3.341;9.520;75.258;0.100;0.254
9.600;57.802;9.520;75.258;0.013;0.266
9.600;57.802;9.520;75.258;0.013;0.279
0.800;29.339;9.520;53.753;0.001;0.280
9.600;57.802;9.520;75.258;0.013;0.292
9.600;29.339;9.520;53.753;0.013;0.305
19.200;57.802;9.520;75.258;0.025;0.330
9.600;57.802;9.520;57.282;0.013;0.343
19.200;57.802;9.520;75.258;0.025;0.368
67.200;3.341;9.520;75.258;0.088;0.455
67.200;3.341;9.520;75.258;0.088;0.543
67.200;3.341;9.520;75.258;0.088;0.631
27.200;57.802;13.438;75.258;0.036;0.667
29.200;15.205;29.154;57.282;0.038;0.705
9.600;57.802;9.520;75.258;0.013;0.717
9.600;29.339;9.520;53.753;0.013;0.730
9.600;29.339;9.520;53.753;0.013;0.742
48.000;3.341;9.520;75.258;0.063;0.805
13.600;66.612;13.438;75.258;0.018;0.823
9.600;57.802;9.520;75.258;0.013;0.835
9.600;29.339;9.520;53.753;0.013;0.848
9.600;17.204;9.520;75.258;0.013;0.860
13.600;57.802;13.438;75.258;0.018;0.878
93.200;3.341;9.520;75.258;0.122;1.000
Nilai fitness terbaik = 93.19972
Total fitness =  765.4002

