Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
3.000;21.202;2.881;13.988;0.010;0.010
163.999;4.532;32.720;80.821;0.524;0.534
15.400;23.583;15.342;58.845;0.049;0.583
84.400;8.329;42.072;95.529;0.270;0.853
17.200;78.111;17.080;21.990;0.055;0.908
28.800;44.688;7.130;43.661;0.092;1.000
Nilai fitness terbaik = 163.9986
Total fitness =  312.7985

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
24.000;4.532;2.881;80.821;0.080;0.080
7.200;47.579;7.130;95.529;0.024;0.104
7.200;44.688;7.130;95.529;0.024;0.128
7.200;44.688;7.130;95.529;0.024;0.152
10.400;37.724;15.342;58.845;0.035;0.187
15.000;4.532;2.881;80.821;0.050;0.237
15.000;4.532;2.881;80.821;0.050;0.287
12.000;4.532;2.881;80.821;0.040;0.328
7.200;44.688;7.130;95.529;0.024;0.352
7.200;44.688;7.130;95.529;0.024;0.376
22.600;44.688;55.882;95.529;0.076;0.451
24.000;4.532;2.881;80.821;0.080;0.531
15.400;8.329;15.342;58.845;0.051;0.583
6.800;60.864;15.342;58.845;0.023;0.606
7.200;44.688;7.130;95.529;0.024;0.630
7.200;44.688;7.130;95.529;0.024;0.654
7.200;44.688;7.130;95.529;0.024;0.678
7.200;44.688;7.130;43.513;0.024;0.702
7.200;44.688;7.130;95.529;0.024;0.726
5.400;44.688;7.130;95.529;0.018;0.744
15.000;4.532;2.881;80.821;0.050;0.794
30.800;8.329;15.342;58.845;0.103;0.897
30.800;8.329;15.342;58.845;0.103;1.000
Nilai fitness terbaik = 30.80005
Total fitness =  299.2

Generasi 3
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
3.000;44.688;2.881;58.845;0.003;0.003
21.600;8.329;7.130;75.686;0.022;0.025
3.000;44.688;2.881;80.821;0.003;0.028
46.200;4.532;15.342;95.529;0.047;0.075
9.000;8.329;2.881;95.529;0.009;0.084
0.200;4.532;55.882;95.529;0.000;0.084
14.400;4.532;7.130;43.513;0.015;0.099
68.200;4.532;15.342;95.529;0.069;0.168
56.000;4.532;55.882;95.529;0.057;0.225
7.200;44.688;7.130;95.529;0.007;0.232
43.200;4.532;7.130;95.529;0.044;0.276
7.200;44.688;7.130;80.821;0.007;0.283
15.000;4.532;2.881;80.821;0.015;0.299
7.200;1.809;7.130;58.845;0.007;0.306
36.000;4.532;7.130;95.529;0.037;0.342
21.600;8.329;7.130;95.529;0.022;0.364
61.600;4.532;15.342;95.529;0.063;0.427
7.200;8.329;7.130;95.529;0.007;0.434
6.000;8.329;2.881;95.529;0.006;0.440
21.600;4.532;7.130;13.496;0.022;0.462
15.400;44.688;15.342;95.529;0.016;0.478
8.800;8.329;2.881;95.529;0.009;0.487
11.800;4.532;55.882;95.529;0.012;0.499
21.600;8.329;7.130;95.529;0.022;0.521
44.000;4.532;43.893;95.529;0.045;0.565
7.200;44.688;7.130;95.529;0.007;0.573
43.200;4.532;7.130;95.529;0.044;0.617
7.200;44.688;7.130;95.529;0.007;0.624
27.000;4.532;55.882;95.529;0.027;0.651
3.000;37.724;2.881;95.529;0.003;0.654
6.000;8.329;2.881;95.529;0.006;0.660
50.400;4.065;7.130;95.529;0.051;0.712
15.000;4.532;2.881;80.821;0.015;0.727
39.800;4.532;7.130;43.513;0.040;0.767
3.000;44.688;2.881;80.821;0.003;0.770
15.400;44.688;15.342;95.529;0.016;0.786
