Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
16.200;47.314;16.105;45.970;0.064;0.064
39.200;1.977;9.645;94.571;0.156;0.220
1.400;69.111;2.055;98.965;0.006;0.225
0.200;18.646;40.744;60.244;0.001;0.226
53.400;20.919;17.687;62.719;0.212;0.438
16.600;22.561;16.409;71.263;0.066;0.504
4.800;61.589;2.318;17.109;0.019;0.523
4.800;74.968;4.641;42.878;0.019;0.542
12.200;9.064;12.117;60.290;0.048;0.590
28.800;41.730;14.228;66.749;0.114;0.705
33.400;27.571;33.295;54.937;0.133;0.837
11.200;63.613;11.019;96.396;0.044;0.882
6.800;6.414;40.465;51.690;0.027;0.909
9.000;13.619;8.888;57.626;0.036;0.944
9.800;11.170;16.940;78.692;0.039;0.983
4.200;43.834;4.153;64.243;0.017;1.000
Nilai fitness terbaik = 53.40013
Total fitness =  252.0003

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
3.200;43.834;11.019;71.263;0.006;0.006
14.400;9.064;14.228;60.290;0.026;0.032
48.600;11.170;16.105;78.692;0.089;0.121
25.200;6.414;4.153;51.690;0.046;0.167
25.200;6.414;4.153;51.690;0.046;0.214
32.400;11.170;16.105;78.692;0.059;0.273
17.800;20.919;17.687;96.396;0.033;0.305
22.400;43.834;11.019;71.263;0.041;0.347
6.400;13.619;33.295;66.749;0.012;0.358
16.800;6.414;4.153;82.660;0.031;0.389
16.800;6.414;4.153;51.690;0.031;0.420
4.200;73.654;4.153;51.690;0.008;0.427
8.400;6.414;4.153;51.690;0.015;0.443
11.200;43.834;11.019;71.263;0.021;0.463
11.200;43.834;11.019;71.263;0.021;0.484
9.200;43.834;11.019;71.263;0.017;0.501
33.400;13.619;33.295;66.749;0.061;0.562
21.000;6.414;4.153;51.690;0.038;0.600
16.200;11.170;16.105;78.692;0.030;0.630
14.400;9.064;14.228;60.290;0.026;0.656
9.600;1.977;4.641;54.937;0.018;0.674
9.000;47.314;8.888;94.571;0.016;0.690
9.000;13.619;33.295;66.749;0.016;0.707
12.600;6.414;4.153;51.690;0.023;0.730
16.200;11.170;16.105;62.294;0.030;0.760
16.600;63.613;16.409;64.243;0.030;0.790
2.400;61.589;2.318;57.626;0.004;0.795
16.800;6.414;4.153;51.690;0.031;0.825
42.000;9.064;20.838;60.290;0.077;0.902
24.000;1.977;4.641;54.937;0.044;0.946
21.000;6.414;4.153;51.690;0.038;0.985
8.400;6.414;4.153;51.690;0.015;1.000
Nilai fitness terbaik = 48.60011
Total fitness =  546.0002

