Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
50.000;4.496;49.832;59.844;0.214;0.214
2.400;66.343;2.224;94.778;0.010;0.224
9.200;18.846;9.025;82.045;0.039;0.263
9.400;73.837;9.363;36.439;0.040;0.304
2.400;6.468;25.900;47.769;0.010;0.314
25.400;17.562;25.377;45.941;0.109;0.423
134.999;1.941;14.890;95.417;0.577;1.000
Nilai fitness terbaik = 134.9991
Total fitness =  233.7992

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
18.800;18.846;9.363;94.770;0.036;0.036
18.800;18.846;9.363;95.417;0.036;0.072
14.200;17.562;8.790;94.778;0.027;0.099
26.000;6.468;25.900;45.941;0.050;0.149
5.400;6.468;25.900;45.941;0.010;0.159
9.200;17.562;9.025;94.778;0.018;0.176
26.000;6.468;25.900;45.941;0.050;0.226
26.000;6.468;25.900;45.941;0.050;0.276
26.000;6.468;25.900;45.941;0.050;0.325
4.400;6.468;2.148;45.941;0.008;0.334
6.600;6.468;25.900;45.941;0.013;0.346
26.000;6.468;25.900;45.941;0.050;0.396
0.600;6.468;25.900;45.941;0.001;0.397
9.200;17.562;9.025;94.778;0.018;0.415
0.400;6.468;25.900;45.941;0.001;0.415
9.200;17.562;9.025;94.778;0.018;0.433
6.400;6.468;25.900;45.941;0.012;0.445
9.200;17.562;9.025;94.778;0.018;0.463
4.800;6.468;25.900;45.941;0.009;0.472
15.000;73.837;14.890;59.844;0.029;0.501
9.400;18.846;9.363;95.417;0.018;0.519
9.200;17.562;9.025;94.778;0.018;0.536
26.000;6.468;25.900;45.941;0.050;0.586
26.000;6.468;25.900;45.941;0.050;0.635
0.800;6.468;25.900;45.941;0.002;0.637
9.200;17.562;9.025;94.778;0.018;0.654
9.200;17.562;9.025;94.778;0.018;0.672
20.800;6.468;10.259;45.941;0.040;0.712
9.400;18.846;9.363;95.417;0.018;0.730
8.200;23.572;9.025;94.778;0.016;0.745
9.200;17.562;9.025;94.778;0.018;0.763
26.000;6.468;25.900;45.941;0.050;0.813
9.200;17.562;9.025;94.778;0.018;0.830
9.200;17.562;9.025;94.778;0.018;0.848
9.400;18.846;9.363;95.417;0.018;0.866
26.000;6.468;25.900;45.941;0.050;0.915
26.000;6.468;25.900;45.941;0.050;0.965
18.400;17.562;9.025;94.778;0.035;1.000
Nilai fitness terbaik = 26.00003
Total fitness =  523.8001

Generasi 3
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
52.000;6.468;25.900;94.770;0.048;0.048
28.400;6.468;9.025;45.941;0.026;0.074
26.000;18.846;25.900;45.941;0.024;0.098
36.800;6.468;9.025;95.417;0.034;0.131
26.000;6.468;25.900;45.941;0.024;0.155
27.600;6.468;9.025;95.417;0.025;0.180
18.800;6.468;9.363;95.417;0.017;0.198
36.800;6.468;9.025;47.604;0.034;0.231
26.000;6.468;25.900;95.417;0.024;0.255
52.000;6.468;25.900;95.417;0.048;0.303
36.800;6.468;9.025;95.417;0.034;0.337
6.400;6.468;25.900;45.941;0.006;0.342
10.400;23.745;10.259;45.941;0.010;0.352
9.200;18.846;9.025;94.778;0.008;0.360
26.000;6.468;25.900;95.417;0.024;0.384
7.600;18.846;25.900;94.778;0.007;0.391
11.400;18.846;25.900;45.941;0.010;0.402
34.400;6.468;25.900;45.941;0.032;0.433
26.000;6.468;25.900;95.417;0.024;0.457
26.000;18.846;25.900;94.778;0.024;0.481
12.000;18.846;25.900;45.941;0.011;0.492
27.600;6.468;9.025;95.417;0.025;0.517
27.600;6.468;9.025;95.417;0.025;0.542
18.800;6.468;9.363;47.630;0.017;0.560
27.600;6.468;9.025;95.417;0.025;0.585
18.800;6.468;9.363;94.778;0.017;0.602
1.800;6.468;25.900;95.417;0.002;0.604
26.000;6.468;25.900;45.941;0.024;0.628
26.000;6.468;25.900;95.417;0.024;0.651
26.000;6.468;25.900;45.941;0.024;0.675
