Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
3.600;9.594;18.826;52.613;0.077;0.077
43.200;11.794;41.568;91.356;0.923;1.000
Nilai fitness terbaik = 43.20009
Total fitness =  46.80009

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
10.000;11.794;18.826;52.613;0.111;0.111
0.600;11.794;18.826;52.613;0.007;0.118
1.400;11.794;18.826;52.613;0.016;0.133
26.800;11.794;18.826;52.613;0.298;0.431
9.000;11.794;18.826;52.613;0.100;0.531
19.000;11.794;18.826;52.613;0.211;0.742
9.200;11.794;18.826;52.613;0.102;0.844
1.800;11.794;18.826;52.613;0.020;0.864
1.800;9.594;41.568;91.356;0.020;0.884
3.600;9.594;41.568;91.356;0.040;0.924
6.800;11.794;18.826;52.613;0.076;1.000
Nilai fitness terbaik = 26.80003
Total fitness =  90.00002

Generasi 3
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
38.000;11.794;18.826;52.613;0.160;0.160
19.000;11.794;18.826;91.920;0.080;0.240
4.600;11.794;18.826;89.590;0.019;0.259
3.400;11.794;18.826;91.356;0.014;0.273
9.400;11.794;18.826;91.356;0.040;0.313
13.200;11.794;18.826;52.613;0.056;0.368
19.000;11.794;18.826;52.613;0.080;0.448
11.400;11.794;18.826;52.613;0.048;0.496
19.000;11.794;18.826;91.356;0.080;0.576
19.000;11.794;18.826;91.356;0.080;0.656
3.000;11.794;18.826;52.613;0.013;0.669
5.400;11.794;18.826;78.858;0.023;0.691
19.000;7.924;18.826;52.613;0.080;0.771
9.000;9.594;18.826;77.108;0.038;0.809
41.600;9.594;41.568;91.356;0.175;0.984
3.800;11.794;18.826;52.613;0.016;1.000
Nilai fitness terbaik = 41.60009
Total fitness =  237.8001

Generasi 4
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
6.200;11.794;18.826;89.590;0.030;0.030
9.200;11.794;18.826;89.590;0.045;0.075
19.000;9.594;18.826;78.858;0.093;0.168
0.200;9.594;18.826;52.613;0.001;0.169
2.400;11.794;18.826;91.356;0.012;0.181
0.200;11.794;18.826;77.108;0.001;0.182
1.200;11.794;18.826;77.108;0.006;0.187
9.400;11.794;18.826;52.613;0.046;0.233
40.400;9.594;18.826;78.858;0.197;0.431
38.600;7.924;18.826;91.920;0.188;0.619
19.000;9.594;18.826;52.613;0.093;0.712
19.000;9.594;18.826;78.858;0.093;0.805
4.400;9.594;18.826;78.858;0.021;0.826
1.000;11.794;18.826;91.356;0.005;0.831
23.400;9.594;18.826;78.858;0.114;0.945
6.000;11.794;18.826;89.590;0.029;0.975
5.200;7.924;18.826;91.920;0.025;1.000
Nilai fitness terbaik = 40.40008
Total fitness =  204.8002

