Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
11.000;11.115;10.979;43.799;0.038;0.038
4.800;21.953;4.713;12.645;0.017;0.055
82.000;7.738;40.805;44.465;0.286;0.341
40.800;22.998;40.764;88.909;0.142;0.483
18.600;76.324;18.478;48.762;0.065;0.547
129.999;1.531;21.120;63.018;0.453;1.000
Nilai fitness terbaik = 129.9992
Total fitness =  287.1992

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
82.000;1.531;40.805;88.909;0.156;0.156
11.000;76.324;10.979;48.762;0.021;0.177
41.000;1.531;40.805;88.909;0.078;0.255
4.800;7.738;4.713;63.018;0.009;0.264
6.800;1.531;40.805;88.909;0.013;0.277
14.400;7.738;4.713;63.018;0.027;0.305
9.600;7.738;4.713;63.018;0.018;0.323
41.000;1.531;40.805;88.909;0.078;0.401
122.999;1.531;40.805;88.909;0.234;0.635
41.000;1.531;40.805;88.909;0.078;0.714
2.800;1.531;40.805;88.909;0.005;0.719
11.000;76.324;10.979;48.762;0.021;0.740
49.400;1.531;40.805;88.909;0.094;0.834
4.800;7.738;4.713;63.018;0.009;0.843
10.400;22.998;18.348;44.465;0.020;0.863
72.000;1.531;23.849;88.909;0.137;1.000
Nilai fitness terbaik = 122.9993
Total fitness =  524.9995

Generasi 3
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
41.000;1.531;40.805;88.909;0.036;0.036
41.000;1.531;40.805;88.909;0.036;0.073
34.800;1.531;11.489;63.018;0.031;0.104
18.400;76.324;18.348;88.909;0.016;0.120
41.000;1.531;40.805;88.909;0.036;0.156
22.000;7.738;10.979;88.909;0.020;0.176
11.600;76.324;18.348;88.909;0.010;0.186
41.000;1.531;40.805;88.909;0.036;0.222
11.000;7.738;10.979;88.909;0.010;0.232
22.000;7.738;10.979;88.909;0.020;0.252
41.000;1.531;40.805;88.909;0.036;0.288
41.000;28.623;40.805;88.909;0.036;0.324
2.400;1.531;4.713;88.909;0.002;0.326
41.000;1.531;40.805;48.762;0.036;0.363
82.000;1.531;40.805;63.018;0.073;0.436
41.000;1.531;40.805;88.909;0.036;0.472
41.000;1.531;40.805;88.909;0.036;0.508
3.600;7.738;4.713;48.762;0.003;0.511
8.600;16.437;23.849;88.909;0.008;0.519
4.800;1.531;4.713;63.018;0.004;0.523
2.200;1.531;40.805;88.909;0.002;0.525
